DrugBank ID,Name,Type,UniProt ID,UniProt Name
DB00001,Lepirudin,BiotechDrug,P00734,Prothrombin
DB00002,Cetuximab,BiotechDrug,P00533,Epidermal growth factor receptor
DB00002,Cetuximab,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00002,Cetuximab,BiotechDrug,P00736,Complement C1r subcomponent
DB00002,Cetuximab,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00002,Cetuximab,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00002,Cetuximab,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00002,Cetuximab,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00002,Cetuximab,BiotechDrug,P09871,Complement C1s subcomponent
DB00002,Cetuximab,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00002,Cetuximab,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00002,Cetuximab,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00002,Cetuximab,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00004,Denileukin diftitox,BiotechDrug,P01589,Interleukin-2 receptor subunit alpha
DB00004,Denileukin diftitox,BiotechDrug,P14784,Interleukin-2 receptor subunit beta
DB00004,Denileukin diftitox,BiotechDrug,P31785,Cytokine receptor common subunit gamma
DB00005,Etanercept,BiotechDrug,P01375,Tumor necrosis factor
DB00005,Etanercept,BiotechDrug,P20333,Tumor necrosis factor receptor superfamily member 1B
DB00005,Etanercept,BiotechDrug,P12314,High affinity immunoglobulin gamma Fc receptor I
DB00005,Etanercept,BiotechDrug,P08637,Low affinity immunoglobulin gamma Fc region receptor III-A
DB00005,Etanercept,BiotechDrug,P12318,Low affinity immunoglobulin gamma Fc region receptor II-a
DB00005,Etanercept,BiotechDrug,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b
DB00005,Etanercept,BiotechDrug,P31995,Low affinity immunoglobulin gamma Fc region receptor II-c
DB00005,Etanercept,BiotechDrug,P01374,Lymphotoxin-alpha
DB00005,Etanercept,BiotechDrug,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B
DB00005,Etanercept,BiotechDrug,P09871,Complement C1s subcomponent
DB00005,Etanercept,BiotechDrug,P00736,Complement C1r subcomponent
DB00005,Etanercept,BiotechDrug,P02745,Complement C1q subcomponent subunit A
DB00005,Etanercept,BiotechDrug,P02746,Complement C1q subcomponent subunit B
DB00005,Etanercept,BiotechDrug,P02747,Complement C1q subcomponent subunit C
DB00006,Bivalirudin,SmallMoleculeDrug,P00734,Prothrombin
DB00007,Leuprolide,BiotechDrug,P30968,Gonadotropin-releasing hormone receptor
DB00008,Peginterferon alfa-2a,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00008,Peginterferon alfa-2a,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00009,Alteplase,BiotechDrug,P00747,Plasminogen
DB00009,Alteplase,BiotechDrug,P02671,Fibrinogen alpha chain
DB00009,Alteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor
DB00009,Alteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00010,Sermorelin,BiotechDrug,Q02643,Growth hormone-releasing hormone receptor
DB00011,Interferon alfa-n1,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00011,Interferon alfa-n1,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00012,Darbepoetin alfa,BiotechDrug,P19235,Erythropoietin receptor
DB00013,Urokinase,BiotechDrug,P00747,Plasminogen
DB00013,Urokinase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor
DB00013,Urokinase,BiotechDrug,P00749,Urokinase-type plasminogen activator
DB00013,Urokinase,BiotechDrug,P00750,Tissue-type plasminogen activator
DB00013,Urokinase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00013,Urokinase,BiotechDrug,P05120,Plasminogen activator inhibitor 2
DB00013,Urokinase,BiotechDrug,P05154,Plasma serine protease inhibitor
DB00013,Urokinase,BiotechDrug,P98164,Low-density lipoprotein receptor-related protein 2
DB00013,Urokinase,BiotechDrug,Q9Y5Y6,Suppressor of tumorigenicity 14 protein
DB00013,Urokinase,BiotechDrug,P14543,Nidogen-1
DB00014,Goserelin,SmallMoleculeDrug,P22888,Lutropin-choriogonadotropic hormone receptor
DB00014,Goserelin,SmallMoleculeDrug,P30968,Gonadotropin-releasing hormone receptor
DB00015,Reteplase,BiotechDrug,P00747,Plasminogen
DB00015,Reteplase,BiotechDrug,P02671,Fibrinogen alpha chain
DB00015,Reteplase,BiotechDrug,Q03405,Urokinase plasminogen activator surface receptor
DB00015,Reteplase,BiotechDrug,P05121,Plasminogen activator inhibitor 1
DB00016,Erythropoietin,BiotechDrug,P19235,Erythropoietin receptor
DB00017,Salmon Calcitonin,BiotechDrug,P30988,Calcitonin receptor
DB00018,Interferon alfa-n3,BiotechDrug,P17181,Interferon alpha/beta receptor 1
DB00018,Interferon alfa-n3,BiotechDrug,P48551,Interferon alpha/beta receptor 2
DB00019,Pegfilgrastim,BiotechDrug,Q99062,Granulocyte colony-stimulating factor receptor
DB00019,Pegfilgrastim,BiotechDrug,P08246,Neutrophil elastase
DB00020,Sargramostim,BiotechDrug,P15509,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha
